Blaenau Gwent
Abertillery, Blaenau Gwent
Penrhyndeudraeth, Gwynedd

Porthmadog, Gwynedd

Pwllheli, Gwynedd

Talsarnau, Gwynedd

Talybont, Gwynedd

Tywyn, Gwynedd

Y Felinheli, Gwynedd


Isle of Anglesey
Amlwch, Isle of Anglesey

Beaumaris, Isle of Anglesey

Bodorgan, Isle of Anglesey

Brynteg, Isle of Anglesey

Cemaes Bay, Isle of Anglesey

Dulas, Isle of Anglesey

Gaerwen, Isle of Anglesey

Holyhead, Isle of Anglesey

Llanbedrgoch, Isle of Anglesey

Llanfairpwllgwyngyll, Isle of Anglesey

Llangefni, Isle of Anglesey

Llannerch-y-Medd, Isle of Anglesey

Marianglas, Isle of Anglesey

Menai Bridge, Isle of Anglesey

Moelfre, Isle of Anglesey

Pentraeth, Isle of Anglesey

Penysarn, Isle of Anglesey

Rhosgoch, Isle of Anglesey

Rhosneigr, Isle of Anglesey

Ty Croes, Isle of Anglesey

Tyn-y-Gongl, Isle of Anglesey



Merthyr Tydfil
Dowlais, Merthyr Tydfil

Treharris, Merthyr Tydfil

Troedyrhiw, Merthyr Tydfil



Monmouthshire
Abergavenny, Monmouthshire

Caldicot, Monmouthshire

Chepstow, Monmouthshire

Monmouth, Monmouthshire

Usk, Monmouthshire




Neath Port Talbot
Neath, Neath Port Talbot

Port Talbot, Neath Port Talbot



Newport
Bassaleg, Newport

Bettws, Newport

Caerleon, Newport

Newbridge, Newport

Risca, Newport

Rogerstone, Newport



Pembrokeshire
Boncath, Pembrokeshire

Clarbeston Road, Pembrokeshire

Clynderwen, Pembrokeshire

Crymych, Pembrokeshire

Fishguard, Pembrokeshire

Glogue, Pembrokeshire

Goodwick, Pembrokeshire

Haverfordwest, Pembrokeshire

Kilgetty, Pembrokeshire

Llanfyrnach, Pembrokeshire

Milford Haven, Pembrokeshire

Narberth, Pembrokeshire

Pembroke Dock, Pembrokeshire

Pembroke, Pembrokeshire

Saundersfoot, Pembrokeshire

Tenby, Pembrokeshire



Powys
Brecon, Powys

Builth Wells, Powys

Caersws, Powys

Crickhowell, Powys

Knighton, Powys

Llanbrynmair, Powys

Llandinam, Powys

Llandrindod Wells, Powys

Llanfechain, Powys

Llanfyllin, Powys

Llangammarch Wells, Powys

Llanidloes, Powys

Llansanffraid, Powys

Llanwrtyd Wells, Powys

Llanymynech, Powys

Machynlleth, Powys

Meifod, Powys

Montgomery, Powys

Newtown, Powys

Presteigne, Powys

Rhayader, Powys

Welshpool, Powys




Rhondda Cynon Taf
Aberdare, Rhondda Cynon Taf

Ferndale, Rhondda Cynon Taf

Mountain Ash, Rhondda Cynon Taf

Pentre, Rhondda Cynon Taf

Pontyclun, Rhondda Cynon Taf

Pontypridd, Rhondda Cynon Taf

Porth, Rhondda Cynon Taf

Tonypandy, Rhondda Cynon Taf

Treorchy, Rhondda Cynon Taf


Swansea
Birchgrove, Swansea

Clydach, Swansea

Fforestfach, Swansea

Gorseinon, Swansea

Gowerton, Swansea

Llansamlet, Swansea

Loughor, Swansea

Morriston, Swansea

Mumbles, Swansea

Penlan, Swansea

Pontardawe, Swansea

Pontarddulais, Swansea

Sketty, Swansea

West Cross, Swansea

Ystradgynlais, Swansea




Torfaen
Cwmbran, Torfaen

Pontypool, Torfaen




Vale of Glamorgan
Barry, Vale of Glamorgan

Cowbridge, Vale of Glamorgan

Dinas Powys, Vale of Glamorgan

Llantwit Major, Vale of Glamorgan

Penarth, Vale of Glamorgan



Wrexham
Acrefair, Wrexham

Chirk, Wrexham

Coedpoeth, Wrexham

Gresford, Wrexham

Gwersyllt, Wrexham

Llay, Wrexham

Rhosllanerchrugog, Wrexham

Ruabon, Wrexham


